,coef
NUP188,0.010459702590305653
PVRIG,0.010010784532951967
C8orf58,0.009782067917530349
C8G,0.006868379067075014
CEP112,0.006724520666867656
PPP1R17,0.006324254664302343
BCORL1,-0.00615888478281428
ISG20L2,-0.005984322125104921
ZNF616,0.005811515547484572
TSHB,0.004284362023168475
ARMC1,-0.004094472607729115
COL22A1,0.0038027109878104245
GCFC2,-0.003539678604352899
AKAP13,-0.003404730695092772
FAM189A1,0.0034024439664668894
NMUR1,0.0026035795996953203
ENG,0.0025996573009211977
MYEOV,0.002316342833278144
CIPC,0.0022955052540797
MKS1,0.002291706361428645
MIIP,0.002155212893964379
FKBP11,-0.0011323598539794853
TSHZ2,-0.0010343169930856692
HRH3,0.0006982563148911751
ZNF71,-0.0006132616190731072
DEFB124,0.00043250698886592706
CDK2AP1,0.00018290725075503634
ACAA1,7.671404812747498e-05
