,atrophy_d
1,-0.352
2,-0.119
3,-0.363
4,-0.203
5,-0.203
6,-0.491
7,-0.362
8,-0.449
9,-0.309
10,-0.331
11,-0.3979999999999999
12,-0.349
13,-0.231
14,-0.444
15,-0.2769999999999999
16,-0.253
17,-0.375
18,-0.319
19,-0.341
20,-0.077
21,-0.261
22,-0.298
23,-0.3429999999999999
24,-0.301
25,-0.182
26,-0.362
27,-0.425
28,-0.209
29,-0.44
30,-0.395
31,-0.214
32,-0.246
33,-0.253
34,-0.408
42,-0.355
43,-0.152
44,-0.317
45,-0.226
46,-0.15
47,-0.536
48,-0.348
49,-0.439
50,-0.308
51,-0.342
52,-0.358
53,-0.386
54,-0.244
55,-0.379
56,-0.285
57,-0.216
58,-0.424
59,-0.3389999999999999
60,-0.373
61,-0.086
62,-0.281
63,-0.31
64,-0.317
65,-0.304
66,-0.12
67,-0.313
68,-0.397
69,-0.2189999999999999
70,-0.4379999999999999
71,-0.386
72,-0.207
73,-0.236
74,-0.262
75,-0.406
