gene,pvalue,rsids,study_accession
ABCA1,9.000000000000001e-33,rs2740488,GCST007827
ABCA7,5.0000000000000005e-17,rs3764650,GCST001025
ABI3,2e-08,rs28394864,GCST007320
AC006126.3,7e-23,rs595290,GCST007320
AC074212.3,5e-08,rs76320948,GCST007320
ACE,4e-12,rs4968782,GCST002665
ACP2,3e-16,rs10501320,GCST007825
ADAM10,3e-11,rs442495,GCST90012877
ADAMTS1,3.0000000000000004e-08,rs2830489,GCST90012877
ADAMTS4,2e-10,rs4575098,GCST007320
ADAR,6.000000000000001e-63,rs61812598,GCST002665
AGBL2,3e-16,rs10501320,GCST007825
ALPK2,3.0000000000000004e-08,rs76726049,GCST007320
AMBRA1,3e-16,rs10501320,GCST007825
ANKRD31,1e-08,rs4704171,GCST009019
ANKRD55,1e-08,rs4700060,GCST001915
APH1B,3.0000000000000004e-08,rs117618017,GCST007320
APOB,1e-19,rs2678379,GCST007827
APOC1,8e-149,rs4420638,GCST001529
APOC1P1,1e-97,rs157595,GCST007827
APOC2,1e-97,rs157595,GCST007827
APOC4,1e-97,rs157595,GCST007827
APOC4-APOC2,1e-97,rs157595,GCST007827
APOE,2e-303,rs429358,GCST009019
APP,1e-11,rs2154481,GCST012182
ARFGAP2,3e-16,rs10501320,GCST007825
ARHGAP1,3e-16,rs10501320,GCST007825
ARRDC4,2e-09,rs570487962,GCST011696
ATG13,3e-16,rs10501320,GCST007825
ATP5H,2e-08,rs9899728,GCST003423
BCAM,2e-143,rs28399637,GCST007320
BCAS3,1e-11,rs72832584,GCST001915
BCHE,3.0000000000000004e-08,rs509208,GCST001868
BCL3,9e-116,rs2075650,GCST002422
BIN1,1e-54,rs6733839,GCST90012877
BLOC1S3,1e-97,rs157595,GCST007827
BZRAP1,4e-08,rs2632516,GCST004246
BZRAP1-AS1,1e-09,rs2632516,GCST007319
BZW2,6e-11,rs58370486,GCST001915
C11orf49,3e-16,rs10501320,GCST007825
C11orf94,2e-13,rs12805422,GCST007825
C1QTNF4,3e-16,rs10501320,GCST007825
CACNA1G,1e-09,rs117964204,GCST001915
CASS4,7.000000000000001e-10,rs6014724,GCST007320
CBLC,1e-97,rs157595,GCST007827
CCBP2,4e-18,rs2228467,GCST002665
CCDC116,4e-12,rs5754166,GCST007827
CCDC50,5e-09,rs9877502,GCST001951
CCR2,2e-13,rs6808835,GCST002665
CCR3,2e-13,rs6808835,GCST002665
CCR5,2e-13,rs6808835,GCST002665
CCRL2,2e-13,rs6808835,GCST002665
CD2AP,4.9999999999999995e-11,rs10948363,GCST002245
CD33,2e-09,rs3865444,GCST001026
CD3EAP,1e-97,rs157595,GCST007827
CEACAM16,6.9999999999999995e-74,rs77301115,GCST007827
CEACAM19,6.9999999999999995e-74,rs77301115,GCST007827
CEACAM20,1e-12,rs80257887,GCST007320
CEACAM22P,2.9999999999999998e-36,rs41290120,GCST007827
CELF1,3e-16,rs10501320,GCST007825
CHRM4,3e-16,rs10501320,GCST007825
CHRNA2,3.0000000000000004e-09,rs34181358,GCST007320
CHRNE,2e-10,rs72835061,GCST012182
CKAP5,3e-16,rs10501320,GCST007825
CKM,1e-97,rs157595,GCST007827
CLASRP,1e-97,rs157595,GCST007827
CLMN,2e-08,rs115102486,GCST001915
CLNK,2e-09,rs6448453,GCST007320
CLPTM1,1e-97,rs157595,GCST007827
CLU,8e-26,rs867230,GCST90012877
CNTNAP2,2e-09,rs114360492,GCST007320
CNTNAP5,8e-10,rs76854344,GCST003452
CR1,5.999999999999999e-24,rs6656401,GCST002245
CR2,4e-15,rs6656401,GCST007826
CRADD,5e-08,rs61144803,GCST001915
CREB3L1,3e-16,rs10501320,GCST007825
CRY2,2e-13,rs12805422,GCST007825
CTB-171A8.1,5e-21,rs111740474,GCST007320
