gene,pvalue,rsids,study_accession
ACMSD,8.999999999999999e-20,rs6430538,GCST002544
ADAMTS20,5e-09,rs148294058,GCST003984
ALAS1,3.0000000000000004e-08,rs143918452,GCST004902
ANK2,4.9999999999999995e-11,rs78738012,GCST004902
APOE,3.0000000000000003e-13,rs429358,GCST011037
ARHGAP27,1e-68,rs17649553,GCST004902
ASH1L,1e-09,rs145330152,GCST012431
ASXL3,2e-08,rs1941685,GCST009325
BAG3,2e-19,rs117896735,GCST004902
BAP1,3.0000000000000004e-08,rs143918452,GCST004902
BCKDK,2e-12,rs14235,GCST002544
BICD1,4e-08,rs77669894,GCST010991
BIN3,1e-08,rs2280104,GCST009325
BRIP1,9e-10,rs61169879,GCST009325
BST1,2e-28,rs4698412,GCST009325
C12orf40,8e-12,rs1384236,GCST003922
C17orf69,2e-16,rs393152,GCST000528
C5orf24,7.000000000000001e-09,rs11950533,GCST009325
C8orf58,3.0000000000000004e-08,rs2280104,GCST004902
CAB39L,1e-08,rs9568188,GCST009325
CAMK2D,1e-12,rs13117519,GCST009325
CARS2,2e-10,rs74125032,GCST012431
CASC16,1e-12,rs3104783,GCST009325
CCDC62,3.0000000000000003e-13,rs12817488,GCST000959
CCNT2,8e-24,rs6430538,GCST004902
CCNT2-AS1,1e-13,rs6430538,GCST010991
CD19,8e-10,rs2904880,GCST009325
CD38,1e-19,rs11724635,GCST004902
CDC71,9.000000000000001e-09,rs12497850,GCST004902
CERS6,3e-16,rs13016703,GCST003984
CHD9,1e-10,rs10221156,GCST009325
CHRNB1,1e-08,rs12600861,GCST009325
CLCN3,2e-10,rs62333164,GCST009325
CLEC19A,1e-08,rs11343,GCST003984
CNTN1,6e-14,rs141128804,GCST009325
COL3A1,5e-08,rs997277,GCST002778
COQ7,9e-11,rs11343,GCST004902
CRHR1,1e-68,rs17649553,GCST004902
CRLS1,9.000000000000001e-09,rs77351827,GCST009325
CTNND1,2e-09,rs687432,GCST003984
CTSB,4e-16,rs1293298,GCST009325
DCUN1D1,3e-14,rs9858038,GCST003984
DDRGK1,3e-11,rs8118008,GCST002544
DGKQ,1e-50,rs34311866,GCST004902
DIRC1,5e-08,rs997277,GCST002778
